,match_id,transcript
0,7595293104,"player_slot 132: lol 
player_slot 132: worth it void ?
player_slot 131: hit me more snper 
player_slot 131: XD
player_slot 129: sniper offlane
player_slot 131: Haha
player_slot 129: its a thing now?
player_slot 131: in sea maybe
player_slot 128: where NP?
player_slot 128: NP WHERE ARE U
player_slot 132: they have a void right 
player_slot 130: gg
"
1,7595292905,"player_slot 129: pls mata al pudge le meto cabe
player_slot 129: toma duelo
player_slot 131: que tal mi hc tan mediocre
player_slot 131: para eso su last pick
player_slot 1: con ese pudge de 5 tbm
player_slot 132: miren los items del void
player_slot 132: ojala nunca les toque
player_slot 132: xddd
player_slot 1: ojala no me toque un pudge 5
player_slot 131: asi de fracasada es la vida de ese void XDDDDDDDDDDD
player_slot 129: ni q me vuelvas a tocar porqueria de puidge priamrio por q te fedearfe todos tus dotas
player_slot 130: end
player_slot 132: xdddddddddd
player_slot 1: jajaja
player_slot 132: terrible
player_slot 132: jajajajaja
player_slot 129: a ver si asi se le quiotan las gaans de seguir pikeando pudge primario
player_slot 3: p
player_slot 3: llora void kaka
player_slot 132: xd
player_slot 2: xdd
player_slot 2: adsihdsahdsa
player_slot 131: asi de mediocre su vida del void
"
2,7595292903,"player_slot 2: end mid
player_slot 129: 3 bot
player_slot 129: too many glass canon heroes
player_slot 128: GG
"
3,7595292604,"player_slot 1: xd
player_slot 131: xd
player_slot 132: XD
player_slot 132: XD
player_slot 132: XD
player_slot 132: XD
player_slot 132: XD
player_slot 129: gg
player_slot 1: casi
"
4,7595292106,"player_slot 3: 下巴了
"
5,7595291405,"player_slot 3: viper picker
player_slot 3: lmfao
player_slot 3: i last pick viper guys
player_slot 3: xd
player_slot 3: its 13 mins 
player_slot 3: dont cry gg
player_slot 3: u guys get viper lastp ick
player_slot 3: how
player_slot 3: oops
player_slot 129: gg 
player_slot 2: gege
player_slot 129: viper lost his mind
player_slot 3: i would
player_slot 3: if i m
player_slot 2: ya guys even lose bott
player_slot 3:  a last pick viper enjoyer
player_slot 3: who lost lane
player_slot 3: get that retard out of this game
player_slot 3: report
player_slot 129: yeah sure let's maass report
player_slot 129: no shame pick lose and then mutes everyone and farm endlessly
player_slot 128: end our misery pls kind sir
player_slot 3: haha
player_slot 129: damn ,, he never rotate nor do tp reaction and still got outfarmed
player_slot 3: just mass report
player_slot 3: get him out of this game
player_slot 3: noob and trihard
player_slot 3: lastpick
player_slot 3: viper
player_slot 3: and lose
player_slot 3: ahahaha
"
6,7595291213,"player_slot 130: xd
player_slot 130: xd
player_slot 1: i just want to win a game
player_slot 1: but every time i got the super noob team
player_slot 1: pos 3 lc
player_slot 130: but u allways have a good tride
player_slot 1: + pos 4 pudge who doesn't know how to hook
player_slot 4: toxic alert
player_slot 4: gg baby team
player_slot 4: gigi
player_slot 4: slark die 2 time still lc get rekt
player_slot 4: xdd
player_slot 1: imagine
player_slot 1: the timber is flexing me
player_slot 1: xd
player_slot 1: top players fed and game is hard
player_slot 1: dog lc and pudge
player_slot 128: gg
player_slot 1: gg worst duo
player_slot 1: lc ogre
player_slot 131: ZXD
player_slot 128: really?
player_slot 4: dk why they def
player_slot 4: they want mega game mb
player_slot 128: tsss
"
7,7595289517,"player_slot 0: what happened to the third fella
player_slot 2: mental boom hits hard
player_slot 1: way2based
player_slot 128: gg
player_slot 4: xd
player_slot 1: outbased
player_slot 1: by 5 timber
"
8,7595289504,"player_slot 4: G
player_slot 4: JD
player_slot 3: 推
player_slot 131: .
player_slot 2: 算了 不守了 推吧 
player_slot 2: 两个孤 儿  打的心累
player_slot 2: 一把游戏而已 像死了爹妈一样
player_slot 129: .
player_slot 2: 帮忙举报一下这个宙斯和先知  心累
player_slot 0: 快推，别犯贱了行吗亲
"
9,7595289503,"player_slot 2: ?
player_slot 131: lag
player_slot 2: Wghahhaahah
player_slot 2: lag
player_slot 131: u were there? ol
player_slot 2: sry im lagging
player_slot 131: no impact 
player_slot 131: sniper
player_slot 2: Ez
player_slot 1: apes desire banana
player_slot 2: pa
player_slot 2: z
player_slot 2: ez
player_slot 1: gg ez
player_slot 1: top diff fr
"
10,7595289002,"player_slot 3: jidi 
"
11,7595288910,"player_slot 129: reporten
player_slot 129: esa basura de pl
player_slot 129: gracias
player_slot 129: basura de pl 5
player_slot 3: ok mi rey
player_slot 2: REPORTADO
player_slot 1: keda
player_slot 132: end
player_slot 129: acabenm pls
player_slot 129: repor pl 5
player_slot 2: gg
player_slot 4: gg
player_slot 129: report pl 5
player_slot 129: gracias
player_slot 128: repotadazo
"
12,7595288113,"player_slot 1: 什么情况啊
"
13,7595287801,"player_slot 128: End 
player_slot 128: Ty
"
14,7595287102,"player_slot 129: nice balance playing vs 2 divines
player_slot 129: nope
player_slot 129: ok
player_slot 129: am
player_slot 129: il f u for this
player_slot 129: mark my words
player_slot 0: аФК
player_slot 129: kk
player_slot 0: я В ОХУЕ
player_slot 0: ОСТАВЬБ ТВАРЬ В СОЛО
player_slot 0: У МЕНЯ ХР НЕТУ
player_slot 129: stfu
player_slot 129: timber go afk
player_slot 130: реп фура
player_slot 129: or get reported
player_slot 130: c
"
15,7595287101,"player_slot 1: dejame
player_slot 1: duelee
player_slot 1: yaaa
player_slot 1: duele p puck
player_slot 1: Cagon
player_slot 1: XD
player_slot 1: esto va ser epico papis
player_slot 129: xd
player_slot 129: una webada
player_slot 129: jugar con sueño
player_slot 129: Csm
player_slot 129: XD
player_slot 128: Excusas
player_slot 128: De kks
player_slot 129: toy jugando hasta el culo
player_slot 129: Xd
player_slot 1: padrino eres dime
player_slot 129: Xd
player_slot 130: slardar de nmrd
player_slot 130: que mrd tienes
player_slot 130: xd
player_slot 130: xd
player_slot 130: por un lion xd
player_slot 132: bacan tus items qop
player_slot 4: xd
player_slot 128: Xd
player_slot 131: XD
player_slot 129: xd
player_slot 130: easy
player_slot 1: bf min 26
player_slot 1: no me jodas p
player_slot 128: Ursa mid xd
player_slot 130: xd
player_slot 131: XD
player_slot 1: rote
player_slot 131: URSA ID
player_slot 131: XD
player_slot 1: pero como te dejaron free
player_slot 132: izi qop
player_slot 1: Q hago?
player_slot 128: pesno que era kunak mid xd
player_slot 132: sigue bajando
player_slot 131: XD
player_slot 131: AGGG
player_slot 130: treport ursa
player_slot 131: vALE
player_slot 130: report ursa?
player_slot 129: xd
player_slot 128: Xd
player_slot 130: Ez
player_slot 4: xd
player_slot 132: ez qop hdp
player_slot 132: caga dotas
"
16,7595285311,"player_slot 128: GG wp
player_slot 4: gg
player_slot 132: gg
"
17,7595284507,"player_slot 130: говно ебаное
player_slot 130: встань афк на хуйне своей
player_slot 130: фрик ебучий
player_slot 0: ff mid no def ty 
player_slot 128: иди нахуй чмо
player_slot 130: dont def
"
18,7595283704,"player_slot 128: >
player_slot 131: rubick mid or support?
player_slot 130: let us end
"
19,7595283309,"player_slot 1: ?
player_slot 1: jhust let us end
player_slot 1: ?
player_slot 1: LOL
player_slot 1: naga picker xD
"
20,7595283201,"player_slot 4: juice
player_slot 132: a bit unfortunate
player_slot 4: juice sir 
player_slot 1: wcyd
player_slot 1: it's happened to all of us
player_slot 131: chill my loves
player_slot 4: can we play until he at least spawns
player_slot 4: 29 seconds
player_slot 132: why?
player_slot 4: then I will wait 
player_slot 132: next unpause we will run it to 10s
player_slot 4: cause I have adhd bro
player_slot 1: its late
player_slot 4: cant stop for too long
player_slot 132: same dude
player_slot 4: ty bro
player_slot 4: welcome back
player_slot 2: gg
player_slot 4: gg wp!
player_slot 129: gg
player_slot 132: gg
player_slot 4: gg
player_slot 1: GG
"
21,7595282711,"player_slot 4: GG
"
22,7595282709,"player_slot 130: whyme
player_slot 129: boooooooooring
"
23,7595282517,"player_slot 130: xd
player_slot 130: get a life
player_slot 130: mfckr
player_slot 130: Xdxd
player_slot 130: mage slayer team
player_slot 4: ur a mage
player_slot 4: makes sense
player_slot 130: lol
player_slot 130: u love me?
player_slot 130: uwu?
player_slot 3: and nice mana regen
player_slot 4: baka
player_slot 3: uwu
player_slot 130: Xd
player_slot 130: bm 
player_slot 130: stopping itself whit his boar
player_slot 130: akjgaflkgsfd
player_slot 4: no place to farm
player_slot 4: for mk
player_slot 130: lol
player_slot 1: sorry but 
player_slot 1: grandmaster
player_slot 3: man these guys monsters
player_slot 129: xd
player_slot 129: ok
player_slot 130: ah
player_slot 4: gg
player_slot 130: ty
player_slot 130: so i need to spam my besto hero to win
player_slot 4: is kotl one of them
player_slot 1: not
player_slot 1: best
player_slot 130: no
player_slot 1: one
player_slot 0: close game tho
player_slot 3: kotl played alone for real
player_slot 130: lmao
player_slot 3: shaman tried
player_slot 130: loL
player_slot 1: but not best
player_slot 1: one
player_slot 1: :(
player_slot 130: to build bkb first item as pos 4 bara
player_slot 130: XD
player_slot 130: HOW TRYHARD U HAVE TO BE
player_slot 130: DAMN
player_slot 130: MY MONKEY IS DRUNKEN
player_slot 129: xd
player_slot 4: gg
player_slot 130: IM NOT LYING
player_slot 4: gl nxt
player_slot 130: GGWP
player_slot 130: LOL
"
24,7595281713,"player_slot 128: acabo de kachar gente hagan sus preguntas
player_slot 3: habia restos de mi leche ahi 
player_slot 0: que tan grande la tenia el tipo que te la metio?
player_slot 0: aprietas?¡
player_slot 128: 17 cm de placer bb
player_slot 128: hago puño si deseas
player_slot 0: de profundo
player_slot 0: q tal m slark
player_slot 129: gozu
player_slot 128: si tan solo tuvieramos mid
player_slot 0: doom pick kbro
player_slot 0: si no fuera por tu ulti q me quita mi rege
player_slot 129: slark es mas cabro
player_slot 0: Gg
"
25,7595280013,"player_slot 130: 这叫技能？
player_slot 129: 打钱3.04 的风行 你就别玩C L  玩你MAMA BA 
player_slot 4: 做了20分钟的BKB总的开一次
"
26,7595279606,"player_slot 129: caSI
player_slot 3: CHAOAKI+
player_slot 128: XD
player_slot 3: XD
player_slot 129: XD
player_slot 2: pero matenlo ptm 
player_slot 2: como si voy ayudar a esa cagada
player_slot 128: Xd
player_slot 132: ya me mataste
player_slot 132: gana
player_slot 3: CAGUE DE RISA
player_slot 3: eSTAS 4 CACAS
player_slot 3: DAZZLE
player_slot 3: CONJ MIDAS
player_slot 3: QUE OPINAS
player_slot 3: NECRO CON MIDAS
player_slot 128: XD
player_slot 132: tmr que feo se engaña
player_slot 131: OE NO LO ENGAÑEN PE
player_slot 132: ahora va a creer que juega
player_slot 132: para eso mueren?
player_slot 131: jhajajaaj
player_slot 3: tREMENDA PORQUERIA ESA DROW
player_slot 3: CON  ESTA GENTE
player_slot 3: Q ASCO
player_slot 3: PÓR FIN
player_slot 3: sE TERMINO EL JUEGO
player_slot 130: oe sf
player_slot 3: A DORMIR
player_slot 130: a nadie le importa sabes?
player_slot 128: XD
"
27,7595279315,"player_slot 132: lucky lil shit
player_slot 128: w8 him
player_slot 132: pls wait
player_slot 131: gg
"
28,7595278115,"player_slot 2: 基地 
player_slot 128: 出来A装备
player_slot 129: 天怒
player_slot 129: 退了啊
player_slot 131: 浪费时间
"
29,7595278000,"player_slot 128: ??
player_slot 2: u better pause
player_slot 2: we can comeback
player_slot 2: we have divine player 
player_slot 132: g
player_slot 132: THIS ZUES CAN WIN GAME BY KS KILL N CREEP
player_slot 2: lmao il ltak zeus 
player_slot 2: wanna trade jakiro?
player_slot 2: hes divine rank xd
player_slot 4: GG END
player_slot 132: eZ
player_slot 128: iyak na
player_slot 2: 0-5 TALKING 
player_slot 2: lmao
player_slot 128: cry huskar
player_slot 128: try deward more ahaha
player_slot 2: our ls crying too
player_slot 0: WAIT FOR MY  1V9 ?
player_slot 2: ahaha
player_slot 128: talk more
player_slot 128: 3-10 talk haha
player_slot 0: LOL  1V2  MID 
player_slot 128: haha its 5 vs 5  haha idiots 
player_slot 129: come jugg give u DV
player_slot 128: run
player_slot 0: LOL
"
