,match_id,transcript
0,7595291014,"player_slot 2: gg gl
"
1,7595290903,
2,7595289606,"player_slot 132: заканчивайте
player_slot 130: закончтие
player_slot 130: не дефаем
player_slot 1: че те надо вок)
"
3,7595288518,"player_slot 1: hes too good :(
player_slot 0: GG
player_slot 1: got htat high five tho 
player_slot 1: rip
player_slot 1: some nets may hitin th efuture 
player_slot 131: xd
player_slot 1: ggs 
player_slot 1: gggggg
"
4,7595287500,"player_slot 4: не можешь ты да смириться с лузом на кастрюле
player_slot 4: на 4к авг
player_slot 130: ?
player_slot 130: CИЛЬНО ИГРАЕТЕ)
player_slot 130: GG
"
5,7595286403,
6,7595285906,"player_slot 3: зузя в школу упиздил
"
7,7595285809,"player_slot 4: izi
player_slot 4: izi
player_slot 131: 7 минут шард убить не может
player_slot 131: анлаки
"
8,7595285701,"player_slot 0: Xd
player_slot 0: X
player_slot 0: Xd
player_slot 0: tmre
player_slot 131: shh kk
player_slot 0: ok pro 
player_slot 1: como chcha una dusa con semejante ventaja esta perdiendo?
player_slot 1: pase de estar emo a confundido
player_slot 132: eres caca pero son mas cacas el shake y el clock
player_slot 131: lastpick shaker
player_slot 131: que tal
player_slot 0: shh kk
player_slot 1: si papi se que soy kk como todos en esta media
player_slot 1: pero porque no ganas?
player_slot 132: no pero tu eres mas
player_slot 1: con semejante pick
player_slot 132: Y el shaker mas y el clock igual
player_slot 131: Porque mis soportes son mas kk que tu
player_slot 2: Wp
"
9,7595285407,"player_slot 1: one sec invoker
player_slot 131: sure
player_slot 131: gunna grab water then
player_slot 131: dont unpause please
player_slot 129: brb gonna goon
player_slot 4: ggs
player_slot 131: gg wp
player_slot 129: gg
"
10,7595285209,"player_slot 3: ?
player_slot 2: го некст
player_slot 2: парни
player_slot 3: сносите
player_slot 128: у меня герой
player_slot 128: под солями
"
11,7595285101,"player_slot 2: 非要杀一个最肉的
"
12,7595283318,"player_slot 132: Sakita nimo uy 
player_slot 132: ahaha bugo jud ka
player_slot 2: Charge fp
player_slot 132: kids camp
player_slot 132: Ez mid
player_slot 128: GG
player_slot 132: ez mid
"
13,7595282106,"player_slot 3: 别生气啊
player_slot 131: 输一把游戏不至于
player_slot 3: 那买活干嘛
player_slot 131: 不买不也输了
player_slot 3: 那所以买活干嘛呢？不买也不影响呀
player_slot 129: 谬论
"
14,7595281810,"player_slot 0: DOMAIN EXPANSION
player_slot 132: wow
"
15,7595281017,"player_slot 2: rq
player_slot 132: feder 0/
player_slot 2: sprout is retarded
player_slot 2: two trees are gonna be one but bigger next patch
player_slot 4: door
player_slot 4: 30 sec
player_slot 4: g
player_slot 132: go mid end
player_slot 132: report nature please
player_slot 2: LOL
player_slot 0: ok
player_slot 4: why?
player_slot 2: yeah why
player_slot 132: end game report nature please
player_slot 4: reason
player_slot 0: Ez mid
player_slot 2: he did pretty well 
player_slot 132: yes report please
player_slot 131: bad time tps
player_slot 4: not slardar?
player_slot 132: ez mid nature
player_slot 131: np
player_slot 2: slardar was useless this game
player_slot 3: ggwp
player_slot 2: because he was ganking bot
"
16,7595280200,"player_slot 1: 好弱
"
17,7595277903,"player_slot 131: XD
player_slot 1: DA RIAS
player_slot 131: tan jugnado su ti csm
player_slot 131: XD
player_slot 2: TAN GOZU
player_slot 130: xd
player_slot 4: report razor please
player_slot 4: toxic player
player_slot 1: da risa
player_slot 4: avoid him
player_slot 1: diganle que da risa a este fracasdo
player_slot 1: Del razor
player_slot 3: repprt razor
player_slot 129: el poder de la diversidad
player_slot 132: razor
player_slot 132: ?
player_slot 129: Pudo mas
player_slot 132: al que deben reportsar es al pudge
player_slot 1: mi razor tiene autoestima baja
player_slot 132: por malograr la linea
player_slot 129: confirmo
player_slot 129: nivel 1
player_slot 1: por ser un cholo triste fracasdo piensan que todos tneemos que perder
player_slot 129: minuto 4 creo xd
player_slot 132: tu pudge
player_slot 132: malogro todo el juego
player_slot 3: ?
player_slot 4: empezo la partida diciendo que el morph estaba muteado y decidio no jugar mas
player_slot 132: reporten al pudge
player_slot 131: ez mid
player_slot 3: ya te reporte miden
player_slot 3: maiden
player_slot 3: descueida
player_slot 3: xd
player_slot 2: Xd
player_slot 2: xdxd
"
18,7595277715,"player_slot 130: )
player_slot 130: clown game
player_slot 1: ez top
"
19,7595276519,"player_slot 128: gg?
player_slot 129: bye
player_slot 128: hello
player_slot 2: ok guys
player_slot 2: i think the start just messed us up so bad
player_slot 128: so you guys ready to play now?
player_slot 2: no i think you end
player_slot 128: oh
player_slot 128: :(
player_slot 2: can we let them end?
player_slot 128: yes pls
player_slot 131: can we just end?
player_slot 128: ^
player_slot 1: FUCK TOY
player_slot 130: zzzzzzz
player_slot 132: you're defending like it has any sense
player_slot 130: extra 15 min
player_slot 1: REPORT
player_slot 129: you?
player_slot 131: u?
player_slot 131: lmao
player_slot 2: dysfunctional team thats all
player_slot 2: that start was too muc fo us
player_slot 129: we tried to end early
player_slot 128: gg gl next
player_slot 128: commend dire
player_slot 128: report radiantr
"
20,7595273905,"player_slot 0: well well
player_slot 0: u guys lose all lane
player_slot 1: LOL
player_slot 1: HAHAHAH
player_slot 128: plkay puck
player_slot 128: solo kill by pa
player_slot 128: XD
player_slot 0: idk how this puck can lose again zeus
player_slot 128: XD
player_slot 128: XD
player_slot 128: and morp
player_slot 128: solo kill by  u 
player_slot 128: 2 times
player_slot 128: pos 4 
player_slot 128: lvl 15 
player_slot 128: above all my core
player_slot 131: you kept getting all our farm
player_slot 131: lol
player_slot 128: u pick voker offlane
player_slot 128: XD
player_slot 3: are u ok?
player_slot 3: hahahaha
player_slot 1: DEF
player_slot 128: g end
player_slot 131: go end
player_slot 0: 3 man def
player_slot 3: u guys are ok?
player_slot 3: haahhaha
player_slot 2: hahah
player_slot 0: bb
player_slot 0: where invok
player_slot 131: here
player_slot 3: hahahahaha
"
21,7595270101,"player_slot 131: снесите
player_slot 130: САПОГ УКРАЛИ
player_slot 129: cytcbnt gj vble
player_slot 129: снесите по миду
player_slot 129: я просто рядом постою
player_slot 129: можно раядом побегать?
player_slot 130: ОН КУКОЛД
player_slot 129: я просто побегаю
player_slot 129: за что
player_slot 129: я же говорю
player_slot 129: просто рядом бегать буду
player_slot 129: ответьте
player_slot 129: можно рядом побегать?
player_slot 4: ?
player_slot 129: джакиро
player_slot 129: с тобой
player_slot 4: давай
player_slot 129: ns ult
player_slot 129: ты где
player_slot 4: ьаунти низ
player_slot 129: не убивайте
player_slot 129: мое сердце разбито
player_slot 129: за что
player_slot 4: я нге трогал
player_slot 129: пошли в другом месте побегаем
player_slot 129: кэмпы вместе покачаем
player_slot 129: скажи куда тп нажать
player_slot 129: МИССЛКИК
player_slot 129: Я ВОКЕРА ХОТЕЛ
player_slot 4: мое сердце разбито
player_slot 129: ты глде
player_slot 129: ублюдок на титане
player_slot 2: продлеваете свои муки
player_slot 129: да вы заебали
player_slot 129: какие муки
player_slot 129: дайте рядом побегать
player_slot 129: я шестой игрок
player_slot 129: как куроко
player_slot 129: поняли?
player_slot 3: камбек 
player_slot 131: +
player_slot 130: ребята 
player_slot 130: кто замуж
player_slot 130: хочет
player_slot 129: ублюдок на аме
player_slot 129: крутой
player_slot 129: +килл
player_slot 129: а ты когда-нибудь бегал с врагом?
player_slot 129: мудак
"
22,7595269714,"player_slot 2: tubarão vai comer o peixinho
player_slot 1: tubarao te amo
player_slot 130: SEM PUCK VC N CONSEGUE
player_slot 0: push
player_slot 0: mid
player_slot 0: all
player_slot 0: PUSH
player_slot 129: fica fonte
player_slot 129: seus mulambos
"
23,7595269312,"player_slot 4: nigga
player_slot 128: EZ GAME
player_slot 128: niggas
"
24,7595267516,
25,7595263109,"player_slot 1: don't kite arc
player_slot 1: he has attack speed
player_slot 132: ok
player_slot 128: gg
"
26,7595261813,"player_slot 3: 我都这么惨了
player_slot 3: 你们都不还手吗
"
27,7595260303,"player_slot 131: gl hf
player_slot 3: go fy
player_slot 131: ok
player_slot 128: wow
player_slot 131: XD
player_slot 131: XDDD
player_slot 131: eZ
"
28,7595260017,"player_slot 1: LAS PAGARAN
player_slot 1: ULTI AL SUPOORT OK
player_slot 128: GG report willow
player_slot 1: XD
player_slot 1: HC
player_slot 1: XD
player_slot 131: willow hc
player_slot 131: ps
player_slot 128: no hace ni mierd de daño
player_slot 1: eSE SI TIENE KK EN EL CEREBRO
player_slot 1: XD
player_slot 129: asi parece
player_slot 2: TAN GOSU ?
player_slot 128: reporten a ese indio  de mierd
player_slot 2: DW HC 
player_slot 128: nose que hace frente a una pc
player_slot 129: y segun el es buen piclk
player_slot 128: deberia estar en su campo
player_slot 1: XD
player_slot 2: xD
player_slot 128: GG hc
"
29,7595259810,"player_slot 2: ggez
player_slot 131: CETRO
player_slot 131: INVOKER
"
30,7595259312,"player_slot 1: 自古牛少多演员
player_slot 1: 中推
player_slot 129: 牛少好走位
"
31,7595258519,"player_slot 130: ?
player_slot 3: GO END 
player_slot 132: Say please
player_slot 132: daddy
player_slot 132: Say please ""daddy end""
player_slot 132: then we end
player_slot 132: daddy end please
player_slot 132: daddy end please?
player_slot 132: daddy
player_slot 132: please end
player_slot 3: FK OF 
player_slot 3: CRINGE
player_slot 3: MF
player_slot 132: daddy end
player_slot 132: huhuhuhu
player_slot 132: daddy
player_slot 132: please end
"
32,7595258110,"player_slot 3: XD
player_slot 1: xd
player_slot 4: xd?
player_slot 4: 5 mentarios
player_slot 4: vengan
player_slot 130: ya
player_slot 0: gG
"
33,7595257917,"player_slot 130: tatanga
player_slot 130: putangina nyop
player_slot 132: wrath
player_slot 132: zeus
player_slot 130: ay
player_slot 130: report
player_slot 130: disrup
player_slot 130: please
player_slot 130: let methrow
player_slot 130: parang ipis
player_slot 130: bb for what
player_slot 130: es?
player_slot 130: tell me
player_slot 1: yall can end btw
player_slot 132: Yall no one care
player_slot 130: dont tell us what to do
player_slot 130: idiots
player_slot 132: we can end what we want
player_slot 1: i bet ur pinoy too
player_slot 0: good job
player_slot 0: XD
player_slot 132: ez top btw
player_slot 130: what u think
player_slot 130: ur gaben?
player_slot 132: 0-9
player_slot 0: what did he do to you why are you so sad mate
player_slot 128: ez mid bro
player_slot 128: you so noob
player_slot 0: l dont have answer for that
"
