Match Id,Transcript,Toxicity,Toxicity Ranking
7595293200,"player_slot 132: caca de mrd
player_slot 132: habiendo tantos heroes saca spectre esta mrd
player_slot 132: armate chato
player_slot 131: un mediocre
player_slot 131: hganle caso
player_slot 130: x2
player_slot 131: estan listas mis banderas
player_slot 131: al toque para reportarlo esperen
player_slot 2: report
player_slot 131: ty
player_slot 131: esa gente solo debe morir
player_slot 131: pa eso le dan party
player_slot 132: sobrao gana dice
player_slot 132: xdf
player_slot 132: jajajajaa
player_slot 132: xd
player_slot 132: muy mrd
player_slot 132: ese zeus
player_slot 128: end fast pliz demasiado doteros son
player_slot 128: acaba sniper
player_slot 128: report al invoker pliz is feder
player_slot 132: xd
player_slot 132: xd
player_slot 3: xd
player_slot 132: xd
player_slot 130: Xd
player_slot 131: mediocre invoker
",Moderate Toxicity,4
7595293106,"player_slot 2: 这盘就没你什么事，赏金
player_slot 2: 废物
",Moderate Toxicity,4
7595292901,,Undetermined,0
7595292601,"player_slot 129: hahaha
player_slot 129: fair
player_slot 129: vxvx
player_slot 129: MISSING BRAIN
player_slot 2: hahaha
player_slot 129: die
player_slot 129: ez
player_slot 1: ez
player_slot 1: my team noob but toxic
player_slot 1: gg end now i give u
player_slot 129: gg
player_slot 1: gg
player_slot 1: u need bkb sf
player_slot 132: 带这个脑，瘫黑鸟赢了一把
player_slot 128: gg
player_slot 129: gg nxxb enemy
player_slot 129: ez
",Mild Toxicity,3
7595292512,"player_slot 132: 矮子 你怎么四的？
player_slot 4: 辅助封神了
player_slot 130: 哈哈
player_slot 4: 5号位船长
player_slot 4: 看到学到
player_slot 130: 这
player_slot 130: 冲塔杀我
player_slot 2: 感谢
player_slot 2: 这把的转折点是小Y
player_slot 2: 额不对 是胜负手
player_slot 2: ？？？小Y掉了你还暂停？
player_slot 2: 这不是你们的机会吗？
",No Toxicity,1
7595292312,"player_slot 1: Ez
player_slot 1: hgaha
player_slot 1: suck my d
player_slot 129: yeah you carried by razor and mid
player_slot 1: so
player_slot 1: what a loser
player_slot 129: so you luck
player_slot 1: haha 
player_slot 129: see my tank
player_slot 1: loser
player_slot 129: DR
player_slot 129: WR
player_slot 130: see my miud
player_slot 130: mid
player_slot 129: we have no tank
player_slot 130: 1-9
player_slot 129: see my tank WR
player_slot 129: run forever
player_slot 1: paper
player_slot 1: Happy def
player_slot 1: loser
player_slot 129: luck
player_slot 2: mk r u ok?
player_slot 1: ????
player_slot 129: luck WD
player_slot 130: mk 1-11
player_slot 0: invo 11-1
player_slot 1: paper
player_slot 1: go hide
player_slot 1: like slave
player_slot 1: ez
player_slot 4: EZXZ
player_slot 1: haha
player_slot 3: ez bot
player_slot 129: go talk to much lucky WD
player_slot 131: gg team
",Moderate Toxicity,4
7595292205,"player_slot 129: GG
",No Toxicity,1
7595292117,"player_slot 3: AW
player_slot 131: aw
player_slot 3: aw
player_slot 128: f9
player_slot 128: team DC
player_slot 131: wooden pc trash
player_slot 131: haha
player_slot 128: how long?
player_slot 129: 2hrs
player_slot 129: watch lucifer 1st
player_slot 131: f9
player_slot 1: wait snip[er
player_slot 128: im lucifer
player_slot 131: Sad
player_slot 128: HAHAHAHAHA
player_slot 128: TEAM DC
player_slot 129: by the powerr of lucifer
player_slot 128: EZ MMR
player_slot 130: wtf
player_slot 131: Ez mmr
player_slot 131: haha
player_slot 130: gg
player_slot 128: quit injoker
player_slot 3: ew
player_slot 131: Ez mid
player_slot 3: ewq
player_slot 128: donate more MMR please
player_slot 131: ew
player_slot 128: haahaa
player_slot 128: rampage
player_slot 130: hahaa
player_slot 3: ew
player_slot 131: Ez
player_slot 128: ew 
player_slot 3: nc try
player_slot 128: just end it
player_slot 3: AHAHAH
player_slot 129: theyre their fun
player_slot 131: haha
player_slot 3: EW
player_slot 3: RAMPAGE
player_slot 129: buyback
player_slot 129: arrogant
player_slot 128: ew
player_slot 131: Ew
player_slot 129: BUYBACK
player_slot 3: EW
player_slot 129: BUYBACK
player_slot 3: ULTRA KILL EW
player_slot 131: Ez mid
player_slot 129: BUYBACK
player_slot 131: Ez
player_slot 131: Ez
player_slot 131: Ew
player_slot 130: haha
player_slot 3: DIE
player_slot 128: GG
player_slot 128: NOOBS
player_slot 129: BUYBACK
",Mild Toxicity,3
7595291905,"player_slot 3: 3 14
player_slot 3: ez off ez supports
player_slot 131: Valeu aí.
",Low Toxicity,2
7595291614,"player_slot 2: a la mrd mucho combo 
player_slot 4: TENEMOS!
player_slot 2: tu vieja
player_slot 2: tendera
player_slot 132: en 4
player_slot 4: Y LA TUYA ME LÑA CHUPA 
player_slot 2: rixo
player_slot 2: tambien
player_slot 4: CALLESE HIJASTRO
player_slot 2: xd
player_slot 129: xd
player_slot 132: xddddddddddddddd
player_slot 132: suerte de cabrito
player_slot 128: BASURA DE WK
player_slot 128: NO SABES STONEAR
player_slot 128: BASURA
player_slot 128: HAGO TODO EL DOTA Y NO SABES STONEAR
player_slot 132: ?
player_slot 128: PARA QUE VIENES
player_slot 129: flojos
player_slot 128: NO ENTIENDO ?
player_slot 128: peleas sin bbk
player_slot 129: ricooo yeahhh
player_slot 132: rico fenix
player_slot 132: rico rico
player_slot 132: xdddddddddddddddd
player_slot 128: xd
player_slot 128: voy romper su war
player_slot 129: ni eclipse vale la pena tirar ya we
player_slot 129: q les paso
player_slot 3: meppo doctor gg dota 
player_slot 130: pense que ese meepo sabia jugar
player_slot 130: izi 
player_slot 132: izi
player_slot 132: :v 
player_slot 3: Meppo contra un docto ps 
",Moderate Toxicity,4
