,match_id,transcript
0,7595291212,
1,7595291116,"player_slot 132: nose que haras
player_slot 132: xd
player_slot 132: 4 
player_slot 131: Xd
player_slot 132: zzzz
player_slot 132: dx
player_slot 132: que tienen ?
player_slot 132: agradece 
player_slot 132: que me dieron a este animal
player_slot 132: de 5
player_slot 132: como no ganes nomas
player_slot 132: loco
player_slot 132: cacana de 5
player_slot 132: ganaste o que tanto gank ?
player_slot 130: XD
player_slot 130: pero me lleve su shard
player_slot 4: end
player_slot 4: report rubbik
player_slot 4: ty
player_slot 130: TENIAMOS Q CARREAR A NUESTRO AM
player_slot 131: Report am 
player_slot 131: report rubi
player_slot 128: gg
player_slot 132: sigan 4 arriba
player_slot 128: reprto am
player_slot 128: g
player_slot 4: nada
player_slot 4: reporta rubbik
player_slot 4: encima q jode
player_slot 132: sigan 4 arriba
player_slot 4: fedea
player_slot 132: mulas
player_slot 132: hdperras
player_slot 132: sigan
player_slot 4: no roba ultis
player_slot 132: arriba
player_slot 4: xd
player_slot 132: babosos 
player_slot 132: de mrd
player_slot 132: sigue subiendo
player_slot 132: tarao
player_slot 132: de mrd
player_slot 132: sigue arriba
player_slot 132: con tus 4 cacheros
player_slot 130: BIEN
player_slot 128: XD
player_slot 131: Report am
player_slot 132: valve hdputa
player_slot 131: pliz
player_slot 132: gracias
player_slot 128: izi mid
"
2,7595289710,"player_slot 4: GL HF
player_slot 132: xDDD
player_slot 4: nice 1 np lol
player_slot 4: too gud
player_slot 2: XDDXDX
player_slot 2: DXDXDX
player_slot 2: DXDXDXDXDXDXDXDXDXDXDXDX
player_slot 128: DXXDdXD
player_slot 130: y sin carry
player_slot 130: imaginate
"
3,7595288306,"player_slot 128: 。
player_slot 128: 崩了
player_slot 1: 开局丢帧了
player_slot 1: 不过问题不大
"
4,7595288208,"player_slot 4: losing to ld as a od
player_slot 4: gay buyer
player_slot 4: pls reprot
player_slot 4: od
player_slot 4: go next
player_slot 4: od how much for immo acc nowadays??
player_slot 4: pls this od and pudge
player_slot 4: 6 lvl mid od ahaha
player_slot 4: 11 min
player_slot 4: gayest buyer possible
player_slot 0: go str8
player_slot 0: g end no def
player_slot 0: kill dat braindead od
player_slot 0: pls
player_slot 4: gay od
"
5,7595287009,"player_slot 132: мидас)
player_slot 132: пиздец
"
6,7595286214,
7,7595285014,"player_slot 2: 大哥
player_slot 2: 还在跟我反眼呢
player_slot 131: meishigan
player_slot 2: 对线都结束了
player_slot 4: ？
player_slot 4: 你是什么蠢B
player_slot 0: 龙哥解毒成功
player_slot 4: 要你爹教你玩中吗
player_slot 132: 黑鸟被蓝猫打的刀都补不了
player_slot 4: 装你妈呢
player_slot 132: 你也有脸了吗
player_slot 4: 哦？
"
8,7595284814,"player_slot 3: ez
player_slot 3: mahihina
"
9,7595283307,"player_slot 128: брю, мне придется забрать птс у тебя
player_slot 3: что поделать, такова судьба
player_slot 130: че ты делаешь?
player_slot 2: )
player_slot 130: мисс клик
player_slot 2: по пассивке жал?
player_slot 130: Да
player_slot 131: иди енхйу
player_slot 130: репорт шейкеру
player_slot 129: на личе
player_slot 129: сын шлюхи
player_slot 2: зачем так говоришь?
"
