Match Id,Transcript,Toxicity,Toxicity Ranking
7595293314,"player_slot 132: JD 拆
player_slot 2: 为啥 
player_slot 132: 玩不了  出门就bug  鼠标不能移动视角
player_slot 2: 我不信 
player_slot 132: 儿骗你
player_slot 132: 不然头给你锤爆
player_slot 2: 我不信 、
player_slot 132: 只有双击英雄或者用滑轮平移
player_slot 132: 脑壳痛
player_slot 132: 出门就重连了  没用
",Mild Toxicity,3
7595292917,"player_slot 0: изи
",Low Toxicity,2
7595292602,"player_slot 1: gl hf
player_slot 130: ）
player_slot 131: gl
player_slot 2: fast end ty
player_slot 131: tapang ng cm ahahaha
player_slot 131: ggwp
player_slot 131: glhf
",No Toxicity,1
7595292513,,Undetermined,0
7595292511,"player_slot 132: que no te dinegue el ward
player_slot 1: ya mañana
player_slot 131: aea cholito 
player_slot 131: aea 
player_slot 131: mañana ya 
player_slot 1: ?=
player_slot 131: bien papi 
player_slot 1: Pavo
player_slot 131: tenian q venir tus maridos
player_slot 131: basura
player_slot 0: mañana ya?
player_slot 130: gg
player_slot 0: mañana ya?
player_slot 4: gracias tusk
player_slot 130: de nada
player_slot 0: mañana ya?
player_slot 4: izi
",Mild Toxicity,3
7595292308,"player_slot 4: u ok?
player_slot 4: buy gem
player_slot 4: sentry not gonna work
player_slot 1: gg
",No Toxicity,1
7595292213,"player_slot 131: 小于 包巨魔吗
player_slot 1:  敌法呢
player_slot 131: 挂机了
player_slot 1:  你让他坐牢啊
player_slot 132: 哈哈
player_slot 132: ....
player_slot 132: 这么 
",Undetermined,0
7595292116,"player_slot 131: xd
player_slot 0: xd
player_slot 0: atrevidos de mrd
player_slot 0: xd
player_slot 0: esee wicho
player_slot 4: XD
player_slot 1: xd
player_slot 1: no le dio los dedos
player_slot 4: QUIEN?
player_slot 131: con ese hc nadie gana
player_slot 0: contigo de suport diras papu
player_slot 131: osea crees que juegas porque te toco un hc mrd
player_slot 131: xd
player_slot 0: xd
player_slot 0: no creo se que eres kk wicho
player_slot 0: un emo de mrd
player_slot 131: xdddddddddddd
player_slot 131: yara mano
player_slot 0: que entra a jugar a joder  nomas
player_slot 131: sisi 
player_slot 131: si manito
player_slot 131: claro que juegas
player_slot 0: xd
player_slot 130: ajjaa
player_slot 131: osea mongol segun tu juegas xd
player_slot 132: xd
player_slot 131: ese zeus de ataque 
player_slot 131: xd
player_slot 131: aqui la gente viene a wevear
player_slot 132: xd
player_slot 131: zeus de mrd
player_slot 0: gracias a tu zeus estan aguantando diras wicho kk
player_slot 131: calla mongol
player_slot 131: ni criterio tienes
player_slot 0: xd 
player_slot 131: por eso eres la llanta baja de tu team
player_slot 0: asi sin criterio te ando ganando xd
player_slot 129: gastar todo en el nyx 
player_slot 131: por tus maridos
player_slot 131: ojala te toque ese hc y ese zeus csmr
player_slot 132: xd
player_slot 0: xd
player_slot 3: Xd
player_slot 0: No aguanto el centon mi gordo
player_slot 0: la tiene chiqui 
player_slot 132: xdxdx
",Moderate Toxicity,4
7595291615,"player_slot 130: gg
",No Toxicity,1
7595291611,,Undetermined,0
7595291610,"player_slot 3: и
player_slot 3: дай закончить 
player_slot 3: некс быстрее начнете 
player_slot 1: Все  спс
",No Toxicity,1
7595290012,"player_slot 130: pick pudge
player_slot 3: qmrd tioenes conmigo 
player_slot 3: 3 
player_slot 132: xcd
player_slot 132: los 5
player_slot 132: xd
player_slot 128: ese pudge falla todo xD
player_slot 128: end
player_slot 132: ese magnus basura me gano jsjsjs
player_slot 132: es team
player_slot 132: mi hc una mrd
player_slot 129: quiere atencion ese mars 5
player_slot 0: xd
player_slot 128: asco de pudge
player_slot 132: ez team assco
",Mild Toxicity,3
7595289206,"player_slot 3: WP
player_slot 3: ALCHE
player_slot 3: EZ
player_slot 3: EZ MID
player_slot 130: lucky we have np in our team
player_slot 0: ez
player_slot 129: not even 15mins
player_slot 129: of space
player_slot 3: hahaha
player_slot 129: haha
player_slot 3: too ez bro
player_slot 129: yeah get the dub and lets move on
player_slot 132: it is what it is 
player_slot 130: bro we have good support
player_slot 130: if not jsut for this np
player_slot 129: haha cant do anything about that
player_slot 1: so np fault
player_slot 3: no your the problem
player_slot 0: mid is the problem
player_slot 0: haha
player_slot 3: itsd yours fault
player_slot 130: lol call your whole team to kill me at mid
player_slot 1: wtf
player_slot 0: pick mid and farm
",Low Toxicity,2
7595288908,"player_slot 132: lol
player_slot 4: od mid
player_slot 4: pajañ
player_slot 129: od mid noob
player_slot 3: od last pick
",No Toxicity,1
7595288812,"player_slot 131: Ez
player_slot 131: NOOB
player_slot 0: YES
player_slot 131: EZ
player_slot 0: yes  ez
player_slot 131: still not good enough VOID
player_slot 0: so
player_slot 0: good?
player_slot 131: who?
player_slot 131: u ?
player_slot 131: nahhh
player_slot 131: ur noob
player_slot 0: you
player_slot 2: AM?
player_slot 0: WHERE  AM
player_slot 2: WTF IS AMD OING?
player_slot 128: feeding
player_slot 128: :D
player_slot 3: ?
player_slot 129: cutiee wk. farm all day
player_slot 2: WHY AM SILENT NOW?
player_slot 0: OFFLANE  AM  TOO  NOOB
player_slot 131: lol
player_slot 0: POOR  DOG
player_slot 131: ur noob at 
player_slot 131: BOTTOM 
player_slot 131: MORON 
player_slot 131: Archon 1 account 
player_slot 131: Stay hefre moron
player_slot 0: YES  BUT  I  WIN
player_slot 131: i have my own 
player_slot 131: i have my own VOID 
player_slot 131: set 
player_slot 131: moron
player_slot 131: dummy account suless
player_slot 0: POOR  MONKEY
player_slot 131: But us Just noob
player_slot 131: wahah add me  DemonBlade
player_slot 129: offlane play carry on us haha
player_slot 131: let see  who 
player_slot 131: NOOB
player_slot 0: YOU  CANT  WIN  NOOB
player_slot 131: ur noob 
player_slot 131: 1 on1 
player_slot 131: EZ
player_slot 0: WHY?
player_slot 3: EZ
player_slot 131: EZ NOOB
player_slot 1: come
player_slot 131: EZ BOTTOm
player_slot 2: YOUR PLAY SAYS IT ALL
player_slot 131: hjahja
player_slot 131: silence for wa
player_slot 1: come
player_slot 3: EZ?
player_slot 0: ?
player_slot 1: i dont need ss
player_slot 131: VOID NOOB
player_slot 130: ？
player_slot 131: IDIOT
",Moderate Toxicity,4
