Match Id,Transcript,Toxicity,Toxicity Ranking
7595292603,"player_slot 128: 帮忙举报下  am
player_slot 128:  这蠢 的跟猪 一样
player_slot 128: 下吧了
player_slot 128: 吧这 傻逼  am  举包了
",Mild Toxicity,3
7595291508,"player_slot 0: Lvl 12 mid
player_slot 0: Mid diff
player_slot 131: XD
player_slot 0: Our mid only knows midlane
player_slot 0: Never gank
player_slot 0: Never roam
player_slot 128: ggs
player_slot 0: Easy mid diff
player_slot 0: Easy mid diff
player_slot 0: 
",Mild Toxicity,3
7595291114,"player_slot 0: sky wat i do 2 u
player_slot 132: its a 30 sec cd
player_slot 130: gg
player_slot 4: gg
player_slot 0: gg wp!
",No Toxicity,1
7595290611,"player_slot 132: xDD
player_slot 2: los muertos no hablan
player_slot 132: ya ???
",No Toxicity,1
7595290506,"player_slot 128: nice buyback xD
player_slot 130: misclick
player_slot 128: gg
player_slot 130: gg
player_slot 132: ez
",Low Toxicity,2
7595289903,"player_slot 0: tmr
player_slot 128: tiens suerte me lagee
player_slot 128: :C
player_slot 1: jaja 4 indios
player_slot 1: por mi jajaa
player_slot 131: shh
player_slot 132: te regalas facil p perra
player_slot 1: es eriki ams animal jajaa
player_slot 1: pa eso rki hc pe
player_slot 1: pipipip
player_slot 131: si no fuese por tu primera no farmeas nada
player_slot 131: lacra
player_slot 1: jaja 3 indios
player_slot 1: ggg dota q asco
player_slot 1: q asco de suprot
player_slot 132: oe
player_slot 132: 4 indios de nuevo
player_slot 131: para eso tecleas?
player_slot 131: report slardar pls
player_slot 131: esa legion
player_slot 131: XD
player_slot 131: malestrom, no?
player_slot 131: XDD
player_slot 0: turbo?
player_slot 131: 8 vs 2
player_slot 1: easy riki
player_slot 131: report mid slardar pudge
",Moderate Toxicity,4
7595289311,"player_slot 131: BABY KALMA
player_slot 3: CLAP FOR BROOD
player_slot 1: gawa ka pangarap pre ah
player_slot 1: turbo xD
",No Toxicity,1
7595289000,"player_slot 0: gg
player_slot 0: EZZ
player_slot 0: MGA BOBO 
player_slot 1: ez mid
player_slot 1: ez mid
player_slot 0: BOBO EMBER 
player_slot 0: BOBO NYO 
player_slot 0: NOOBS 
player_slot 0: MGA BOGO 
player_slot 0: BOOS
player_slot 0: NOOBS 
player_slot 0: MGA TANGA 
player_slot 0: BOBO 
player_slot 0: TANGA
player_slot 0: NOOBNS
",Moderate Toxicity,4
7595288905,"player_slot 1: pick pudge
player_slot 2: pick oudge
player_slot 130: que rico es ganar a  un tarado 
player_slot 130: xdxdxdxd
player_slot 130: como la sudan su mmr
player_slot 4: no estas a mi nivel
player_slot 130: jjajaja
player_slot 4: nomas te dire
player_slot 130: piola tu war papi 
player_slot 4: al ciego es
player_slot 4: jajajjajaj
player_slot 130: tanta se esfuerzan 
player_slot 130: y terminaremos ganando por pick 
player_slot 130: lacras
player_slot 130: xdxdx
player_slot 130: puta que facil 
player_slot 130: ez md
player_slot 130: mid
player_slot 2: ez mid?
player_slot 2: JAHAHAHHAHAHAHAA
player_slot 130: recontra ez
player_slot 0: le ha follado un jakiro randomeado
player_slot 2: end mid pleas
player_slot 0: jajaajs
player_slot 2: go next
player_slot 130: dejate ganar fast  
player_slot 128: XD
player_slot 130: otro tarado 
player_slot 128: XD
player_slot 128: XD
player_slot 130: de que sirve sacar jakiro 
player_slot 4: el life dice que fedeemos
player_slot 0: le randomeo
player_slot 130: si lo unico que hace es ganar mid a lo cabro 
player_slot 0: huevonaso
player_slot 0: pickeaste dps de el
player_slot 130: tremdno baje de pepian 
player_slot 0: pero eres hvncin
player_slot 130: papi
player_slot 130: voy a ganar cierra el culo 
player_slot 2: ya pero y tu torre?
player_slot 130: que es torre
player_slot 128: XD
player_slot 130: torre de papel 
player_slot 130: g next fast 
player_slot 130: dejen romper
player_slot 128: XD
player_slot 2: gracias a los suport :D 
player_slot 130: aprendan a picekar lacras
player_slot 0: cague de risa
player_slot 0: tucausa
player_slot 130: ni para eso sirven leyendas ks
player_slot 0: wk 5
player_slot 0: jakiro medio randomeao
player_slot 2: estoy bajando mi pepa mano
player_slot 0: first pick
player_slot 0: y asi habla
player_slot 130: la suda el chanchito 
player_slot 2: el inuico inutil que s esfuerza eres tu xd
player_slot 130: pobre no salir de leyenda
player_slot 128: jakiro no es el support 5 ?
player_slot 0: preguntale a tu sf
player_slot 128: XD
player_slot 2: go next
player_slot 128: espacio mrd
player_slot 128: pal carry
player_slot 0: q recien revive
player_slot 0: xd
player_slot 3: VOLTIS MRD
player_slot 3: XD
player_slot 128: xq el muerto tienes dos botas
player_slot 128: XD
player_slot 128: csmre
player_slot 128: baje pepa
player_slot 0: es alarako
player_slot 0: dejalo
player_slot 128: ta bien
player_slot 0: aya
player_slot 130: pierde calldo 
player_slot 130: leytenda
player_slot 0: jajajs
player_slot 0: un espinasomas y caian 3
player_slot 0: csm
player_slot 0: ajajajs
player_slot 0: bajaando la hierva
player_slot 2: bajando mi oregano
player_slot 130: tremendo baje de pepian 
player_slot 130: ya ?
player_slot 128: XD
player_slot 128: XD
player_slot 128: XD
player_slot 128: XD
player_slot 128: se le paro el kulo
player_slot 129: bajando mi oregano 
player_slot 128: csmre
player_slot 129: xdx
player_slot 4: les digo la verdad?
player_slot 0: botame tu meeeee
player_slot 128: no
player_slot 4: no soy parker
player_slot 128: XD
player_slot 129: jalame
player_slot 0: ajajAJAJ
player_slot 128: eres la kakde parker
player_slot 129: BAJANDO MI OREGANO
player_slot 128: XD
player_slot 0: WAAAA
player_slot 129: SE ME PARO EL CULO
player_slot 128: muy pinga soy manos
player_slot 2: solo se que rpeot pudge con wk
player_slot 2: ty
player_slot 128: XD
player_slot 128: dsjhbgasdgjhkads gjhyasd
player_slot 128: yara con parker
player_slot 130: izi mid
player_slot 128: XD
player_slot 130: izi mid
player_slot 130: izi mid
player_slot 128: XD
player_slot 130: ez mid
player_slot 128: XD
player_slot 128: XD
player_slot 128: XD
player_slot 128: XD
player_slot 128: XD
",Moderate Toxicity,4
7595288801,,Undetermined,0
