Match Id,Transcript,Toxicity,Toxicity Ranking
7595292500,"player_slot 128: мне страшно теперь к вам идти
player_slot 128: куру то за что?
player_slot 128: ебать я блинканулся
player_slot 128: шансы
player_slot 128: дайте тавер доломаю
player_slot 1: ломай
player_slot 1: тебе мешает кто то:? 
player_slot 1: антимин
player_slot 128: пёс патрон
player_slot 3: да не придет он
player_slot 128: ты только что же в миду был
player_slot 128: сф
player_slot 0: я на боте был
player_slot 0: Тп нажал
player_slot 128: bruh
player_slot 130: ?
player_slot 128: у меня типы просто фидят
player_slot 128: это пиздец
player_slot 128: я нихуя не могу
player_slot 128: а у вас 2 типа играют
player_slot 128: у тебя сколько там кд?
player_slot 128: ломайте
player_slot 0: МОЖНО ДА!?
player_slot 3: gg
player_slot 128: дети блядей в тиме бл
",Extreme Toxicity,5
7595291219,"player_slot 1: 。。
",No Toxicity,1
7595286810,"player_slot 130: asco
player_slot 130: que acaben
",Low Toxicity,2
7595285516,"player_slot 2: GG
",No Toxicity,1
7595283702,"player_slot 129: yes NP?
",No Toxicity,1
7595283011,"player_slot 128: да дайте пофармить пока его нет
player_slot 128: спс
player_slot 132: э
player_slot 132: лучший
player_slot 132: цмка давай так же
player_slot 128: снимай с пацзы цмув
player_slot 128: как умеешь
player_slot 128: умница
player_slot 132: молодец
player_slot 128: {FD{F{{F{F
player_slot 132: красавичк
player_slot 3: цм репорты
player_slot 132: нет
player_slot 132: он крутой
player_slot 132: ахха
player_slot 132: крутой
player_slot 132: красава
player_slot 3: хорош
player_slot 128: ( 
player_slot 132: изи
",No Toxicity,1
7595279817,"player_slot 0: ?
player_slot 0: what is this
player_slot 0: ???
player_slot 0: freee low
player_slot 0: lol
player_slot 0: y are yall doing this man
player_slot 2: its 1 guy
player_slot 3: they're gonna sell the accounts
",No Toxicity,1
7595275609,,Undetermined,0
7595271811,"player_slot 4: 快拆   吧这虚空
player_slot 4: 第一次见 
player_slot 132: 》？？
player_slot 3: 巫妖，虚空和你合作可舒服？
player_slot 132: ？？
player_slot 132: 》？？
player_slot 132: 你们这是？
player_slot 3: 1-10
player_slot 131: 舒服
player_slot 3: 女王和虚空是你们养的狗？
player_slot 4: 哈哈哈 
player_slot 131: 还是女玩  和sw舒服
player_slot 3: 1-10.2-11
player_slot 2: GG
",Mild Toxicity,3
7595253702,"player_slot 131: хорош фидить
player_slot 4: ахаххахаха
player_slot 128: в лп акса
player_slot 128: спасибо за рампагу акс
player_slot 0: меня пожизнено
player_slot 128: имбицил на аксе
player_slot 128: репорты ему накидайте
player_slot 131: грубо
player_slot 128: всю игру руинит хуила
",Moderate Toxicity,4
7595253102,"player_slot 129: happy ching chong
player_slot 3: >/
player_slot 3: 1
",Mild Toxicity,3
7595251816,"player_slot 1: xt ,kzlm pf ghtkjvktybz
player_slot 128: да ебать как цука
",Extreme Toxicity,5
7595251706,"player_slot 2: hggggg
player_slot 2: gg
player_slot 2: ascos 
player_slot 132: gg
player_slot 2: .l.
player_slot 2: no team
",Mild Toxicity,3
7595248705,"player_slot 129: 0  4 1
player_slot 130: снесите уже
player_slot 4: рампагу
player_slot 4: бро
player_slot 130: хуй
player_slot 130: лох
player_slot 4: зачем вы дефаете
player_slot 0: дайте рампагу
player_slot 130: не
player_slot 130: у тебя уже была
player_slot 130: попуск
player_slot 130: изи
",Moderate Toxicity,4
7595239610,"player_slot 130: Типичный Школьник пикает САНГОГО РИККИ
player_slot 0: АХАХА
player_slot 132: тима дегенератов
player_slot 130: Чмо пикнул Рикки
player_slot 130: ЛАСТ ПИКОМ
player_slot 130: ну и чмо же
player_slot 4: сорян как успел так поставил
player_slot 0: НУ
player_slot 0: ВСЕ
player_slot 0: КУПИЛ
player_slot 0: СПС
player_slot 0: АХАХА
player_slot 132: сф неси они не могут нечего 
player_slot 4: сф развлекается
player_slot 130: рикки соси член СФа
player_slot 130: чмошник
player_slot 132: ЛОЛКА
player_slot 0: АХАХА
player_slot 132: ))
player_slot 130: ЛОХ по жизни
player_slot 132: АПХХА
player_slot 0: ТЫ
player_slot 0: ДА
",Moderate Toxicity,4
7595238214,"player_slot 131: ЕБАТЬ ТЕБЕ ПИЗДА
player_slot 131: ЗА 20 СНЕСУ ХУЕСОС
player_slot 130: Шейкер давай показывай
player_slot 130: против тебя 4 чела
player_slot 130: Твоей команды
player_slot 131: ЕБАТЬ Я ЖЕ ТЕБЯ ЗА 20 СНЕСУ ХУЕСОСА ЛСНОГО
player_slot 130: Долбаебы как ты сказал
player_slot 0: праниъ
player_slot 0: я понял
player_slot 130: ?
player_slot 131: Он пиздец душный
player_slot 0: почему вы его хуесосили
player_slot 0: он не просто душны
player_slot 128: держись
player_slot 0: он сын собаки ебаной
player_slot 128: я правда его замутил сразу
player_slot 131: а мы часовую игру играли с ним
player_slot 0: пиздец
player_slot 3: ГДЕ ПОМОЩЬ
player_slot 0: ХВХАХВХВА ОН НА БАЗЕ СТОИТ
player_slot 131: Он знает куда я иду сейчас
player_slot 131: ?
player_slot 4: хвались дальше. против тебя ребенок на мидуц стоял
player_slot 0: ХВХАХВАВХАХВА
player_slot 131: За меня сын шлюхи в прошлой на миду стоял
player_slot 0: ХВХАХВАВХАВХАХВХАХВХАХВАХХВАХВА
player_slot 1: сдохни завтра
player_slot 130: Друг у тебя опять команда долбаебав получаеца? У меня саппорта лвл больше чем у тебя
player_slot 131: ???
player_slot 131: ???
player_slot 131: ЧТО С ЕБАЛОМ СЫН БЛЯДИ НА ШЕЙКЕРЕ
player_slot 131: РЕКРУТ 4
player_slot 131: ?
player_slot 130: Бейн блять подвинулся бы
player_slot 0: ебать
player_slot 0: это от чего миссов столько
player_slot 0: я 1 раз на луне
player_slot 131: тучка рики
player_slot 0: ааа
player_slot 0: спс за игру мужики
player_slot 0: селедка еблан
player_slot 0: 9 реп селедке
player_slot 128: пасиба за игру взаимно
player_slot 0: хорош
player_slot 131: гг
player_slot 131: Мне жаль что вы с ним играли
",Extreme Toxicity,5
7595233805,"player_slot 3: long ahh silence
player_slot 129: 赶快推 什么玩意都
player_slot 3: gg
",No Toxicity,1
7595231905,,Undetermined,0
7595230311,"player_slot 4: sorry my team couldnt be ...better to fight
",No Toxicity,1
7595226213,"player_slot 130: mid fail nob vioper
player_slot 0: gg
player_slot 4: EZ
",Mild Toxicity,3
7595222613,"player_slot 130: Я УСПЕЛ ЗА ПИВОМ В МАГАЗИН СХОДИТЬ ПОКА КАТКУ ИСКАЛО
player_slot 2: jisa
player_slot 2: мипо мне твой закуп мой немного напоминает нет тако?)
player_slot 131: есть такое
player_slot 131: 50 хп
player_slot 131: блять ну и как играть
player_slot 2: ты на мою тиму
player_slot 4: 4 низ
player_slot 2: посмотри
player_slot 0: фить фить
player_slot 131: я в ахуе
player_slot 131: я никогда так плохо на мипо не играл
player_slot 0: тп
player_slot 131: баланс
player_slot 2: а куда
player_slot 2: где он
player_slot 130: ломайте парниэ
player_slot 130: на мипо сын кукурузы ебаной
player_slot 131: трудный перс?
player_slot 130: да
player_slot 130: бруда трудная
player_slot 2: не
player_slot 2: я райдклик жму
player_slot 2: и всё
player_slot 130: ну ладно
player_slot 130: да пусть донесут
player_slot 130: против этой хуйни
player_slot 130: сразу -25
player_slot 130: оч балансный герой
player_slot 130: спасибо вольво
player_slot 2: +
player_slot 2: как и брист
player_slot 2: да и вообщем у вас драфт из меты в основном
player_slot 2: x`
player_slot 2: Чё
player_slot 2: я еул гарпуном
player_slot 2: Задоджил
player_slot 128: бруда харош у меня на мипо ебанат
player_slot 2: gg
player_slot 132: бездари
player_slot 132: ебучие
",Extreme Toxicity,5
